epoch,time,train/box,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
61,57.1053,3.14907,5.63725,4.21998,0,0,0,0,3.50653,5.2928,4.164,2.89884e-05,2.89884e-05,2.89884e-05
62,57.9747,3.51762,5.59422,4.19153,0,0,0,0,3.50748,5.28924,4.16494,2.87529e-05,2.87529e-05,2.87529e-05
63,58.9769,3.33379,5.39064,4.21364,0,0,0,0,3.50892,5.29113,4.16591,2.84938e-05,2.84938e-05,2.84938e-05
64,59.9502,2.94113,5.61639,4.15587,0,0,0,0,3.51068,5.28998,4.16667,2.82112e-05,2.82112e-05,2.82112e-05
65,60.8691,3.68493,5.57286,4.19717,0,0,0,0,3.51044,5.2897,4.16731,2.7905e-05,2.7905e-05,2.7905e-05
66,61.7322,3.56323,5.89438,4.26764,0,0,0,0,3.51261,5.2947,4.16774,2.75753e-05,2.75753e-05,2.75753e-05
67,62.7043,3.18307,5.45665,4.21036,0,0,0,0,3.51305,5.29466,4.16837,2.7222e-05,2.7222e-05,2.7222e-05
68,63.6591,2.79619,5.62513,4.22497,0,0,0,0,3.51371,5.29062,4.16906,2.68451e-05,2.68451e-05,2.68451e-05
69,64.5702,3.47497,5.77318,4.31099,0,0,0,0,3.51584,5.29009,4.16966,2.64447e-05,2.64447e-05,2.64447e-05
70,65.5075,2.80929,5.60403,4.22286,0,0,0,0,3.51492,5.29029,4.17098,2.60207e-05,2.60207e-05,2.60207e-05
71,66.449,2.84426,5.64144,4.18936,0,0,0,0,3.51754,5.29258,4.17131,2.55731e-05,2.55731e-05,2.55731e-05
72,67.4402,3.17558,5.47823,4.16035,0,0,0,0,3.51961,5.29114,4.17177,2.5102e-05,2.5102e-05,2.5102e-05
73,68.3061,3.19137,5.51991,4.21465,0,0,0,0,3.52223,5.29332,4.17242,2.46073e-05,2.46073e-05,2.46073e-05
