epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,44623.8,1.25136,1.68866,1.27183,0.57146,0.4164,0.44773,0.31126,1.18397,1.35714,1.21818,0.007723,0.007723,0.007723
71,45257.8,1.25092,1.68714,1.27149,0.57085,0.41707,0.44798,0.31162,1.18344,1.35547,1.21766,0.00769,0.00769,0.00769
72,45872.7,1.24739,1.68449,1.269,0.56974,0.41897,0.44861,0.31203,1.183,1.35298,1.21682,0.007657,0.007657,0.007657
73,46469.2,1.24801,1.68259,1.26948,0.57932,0.41755,0.44868,0.31214,1.18299,1.35154,1.2166,0.007624,0.007624,0.007624
74,47089,1.24902,1.68034,1.26967,0.58238,0.41737,0.44914,0.31297,1.1824,1.34979,1.21603,0.007591,0.007591,0.007591
75,47705.1,1.24627,1.6783,1.26867,0.57271,0.42275,0.45,0.31355,1.18144,1.34763,1.21503,0.007558,0.007558,0.007558
76,48319.6,1.24488,1.6762,1.26696,0.58257,0.41983,0.45013,0.31333,1.18092,1.34592,1.21449,0.007525,0.007525,0.007525
77,48919.6,1.24453,1.67483,1.26606,0.58725,0.41925,0.45089,0.31417,1.18077,1.34441,1.21422,0.007492,0.007492,0.007492
78,49518.5,1.24563,1.67311,1.26659,0.59147,0.41685,0.45121,0.31448,1.18025,1.34324,1.21357,0.007459,0.007459,0.007459
79,50140.5,1.24402,1.66929,1.26571,0.58734,0.41886,0.45202,0.31521,1.17989,1.34134,1.21307,0.007426,0.007426,0.007426
80,50780.5,1.243,1.67366,1.26617,0.58401,0.42216,0.45307,0.31554,1.17911,1.34013,1.21244,0.007393,0.007393,0.007393
81,51427.9,1.24389,1.67283,1.26526,0.58283,0.42362,0.45281,0.31595,1.17891,1.33914,1.21178,0.00736,0.00736,0.00736
82,52065.4,1.24099,1.66552,1.26343,0.58364,0.42354,0.45389,0.31618,1.17829,1.33756,1.21099,0.007327,0.007327,0.007327
